iteration,scaler,n_features,features,n_clusters,silhouette,calinski_harabasz,davies_bouldin
147,Robust,7,"['commod_trend_strength', 'eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'glob_eq_rsi_mean']",4,0.4575280249118805,2592.1669921875,0.8522873680579841
103,Standard,6,"['eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'glob_eq_vol_skew', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'rsi_diff_qqq_spy']",4,0.45723938941955566,2170.873291015625,0.8742151768867539
161,Standard,9,"['sector_momentum_dispersion', 'glob_eq_vol_skew', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend', 'rsi_diff_qqq_spy', 'sector_ma_ratio_spread', 'glob_eq_ret20d_std', 'glob_eq_rsi_mean']",3,0.45686769485473633,1713.8468017578125,0.8179287328168208
19,Standard,5,"['commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'glob_eq_rsi_mean']",3,0.45681771636009216,2773.499267578125,0.8520833461573109
25,Robust,5,"['commod_momentum_slope', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'macd_diff_lqd_spy', 'eq_idx_macd_diff_mean']",4,0.4550163447856903,1885.0767822265625,0.8462508507674196
97,Robust,9,"['usd_vs_fxe_fxy_trend', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'commod_momentum_slope', 'eq_idx_macd_diff_mean', 'commod_trend_strength']",4,0.45498141646385193,1922.1280517578125,0.7995974456052548
128,Standard,5,"['glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'macd_diff_lqd_spy', 'commod_momentum_slope']",3,0.4547193646430969,2169.42919921875,0.880981422214442
42,Robust,5,"['macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean']",3,0.4538913369178772,1696.941650390625,0.8653438487949087
122,Standard,6,"['macd_diff_lqd_spy', 'rsi_diff_qqq_spy', 'commod_momentum_slope', 'sector_ma_ratio_spread', 'glob_eq_rsi_mean', 'eq_idx_ret5d_mean']",3,0.45389068126678467,1923.263427734375,0.8928344281746706
51,Standard,5,"['macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'sector_ma_ratio_spread', 'commod_momentum_slope']",4,0.45341747999191284,2109.78662109375,0.7359444728615097
147,Robust,7,"['commod_trend_strength', 'eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'glob_eq_rsi_mean']",3,0.4533593952655792,2070.780029296875,0.8422708722638789
89,Robust,5,"['glob_eq_vol_skew', 'sector_ma_ratio_spread', 'commod_momentum_slope', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy']",4,0.45320799946784973,2104.399658203125,0.8158833217953465
64,Standard,9,"['eq_idx_macd_diff_mean', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean', 'commod_momentum_slope']",4,0.4528846740722656,2856.2900390625,0.7717828412635805
82,Robust,6,"['macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'usd_vs_fxe_fxy_trend', 'eq_idx_macd_diff_mean', 'glob_eq_vol_skew', 'eq_idx_ret5d_mean']",3,0.45116108655929565,1764.8321533203125,0.8012642223134758
