scaler,method,k,n_components,n_neighbors,min_dist,metric,min_cluster_size,min_samples,selection_method,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),HDBSCAN,21,3,30,0.1,euclidean,30,20,leaf,,,0.5301094055175781,1939.1263427734375,0.6724830196832178
Quantile (uniform),HDBSCAN,38,3,30,0.2,correlation,10,15,eom,,,-0.037746116518974304,193.67276000976562,4.436809550260186
Quantile (uniform),HDBSCAN,50,3,30,0.2,correlation,10,15,leaf,,,-0.021724268794059753,135.79681396484375,4.945859459353699
Quantile (uniform),HDBSCAN,31,3,30,0.2,correlation,10,20,eom,,,0.030632957816123962,227.90237426757812,3.5513270095516454
Quantile (uniform),HDBSCAN,39,3,30,0.2,correlation,10,20,leaf,,,0.004062214400619268,173.89132690429688,4.279647735020861
Quantile (uniform),HDBSCAN,22,3,30,0.2,correlation,30,15,eom,,,0.049075160175561905,310.1317443847656,3.693244506603943
Quantile (uniform),HDBSCAN,25,3,30,0.2,correlation,30,15,leaf,,,0.03757129982113838,267.5425109863281,3.8150145318938358
Quantile (uniform),HDBSCAN,22,3,30,0.2,correlation,30,20,eom,,,0.05182451382279396,309.09185791015625,3.7583071162668986
Quantile (uniform),HDBSCAN,24,3,30,0.2,correlation,30,20,leaf,,,0.03677395358681679,276.1673889160156,3.8504338258267854
Quantile (uniform),HDBSCAN,41,3,30,0.2,euclidean,10,15,eom,,,0.5100513696670532,1257.671630859375,0.5570687094219379
Quantile (uniform),HDBSCAN,52,3,30,0.2,euclidean,10,15,leaf,,,0.6284255981445312,2677.65283203125,0.4862299871288691
Quantile (uniform),HDBSCAN,30,3,30,0.2,euclidean,10,20,eom,,,0.46782925724983215,1147.620849609375,0.6500282459112677
Quantile (uniform),HDBSCAN,42,3,30,0.2,euclidean,10,20,leaf,,,0.6534712910652161,2118.966552734375,0.4531888814838847
Quantile (uniform),HDBSCAN,16,3,30,0.2,euclidean,30,15,eom,,,0.2368200570344925,469.56658935546875,0.8317865834389451
Quantile (uniform),HDBSCAN,23,3,30,0.2,euclidean,30,15,leaf,,,0.5197464227676392,1827.4461669921875,0.7174293853085709
Quantile (uniform),HDBSCAN,19,3,30,0.2,euclidean,30,20,eom,,,0.4792373776435852,1518.5853271484375,0.7221861298682897
Quantile (uniform),HDBSCAN,24,3,30,0.2,euclidean,30,20,leaf,,,0.5219178795814514,1581.3978271484375,0.6738330823210763
Quantile (uniform),HDBSCAN,70,5,8,0.01,correlation,10,15,eom,,,0.7066360116004944,3635.375,0.47011982588472256
Quantile (uniform),HDBSCAN,71,5,8,0.01,correlation,10,15,leaf,,,0.7106333374977112,3638.00244140625,0.46588091919054087
Quantile (uniform),HDBSCAN,46,5,8,0.01,correlation,10,20,eom,,,0.6611146330833435,3139.7373046875,0.5552772697955056
